epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,706.787,0.8826,0.99419,1.05854,0.89146,0.88318,0.92657,0.71881,0.76461,0.75239,0.96142,0.000331683,0.000331683,0.0671634
2,1321.84,0.79304,0.69276,1.0059,0.89401,0.86613,0.9319,0.71681,0.82663,0.73883,1.00762,0.000648905,0.000648905,0.0341473
3,1985.3,0.79429,0.64721,1.00133,0.91409,0.91807,0.95548,0.74358,0.76432,0.63348,0.97277,0.000903969,0.000903969,0.00106899
4,2617.04,0.7463,0.57826,0.97314,0.95846,0.95245,0.98321,0.79984,0.70303,0.50934,0.93065,0.000795954,0.000795954,0.000795954
5,3262.74,0.64985,0.48093,0.93677,0.97182,0.95868,0.98424,0.84493,0.57903,0.43264,0.87925,0.000657963,0.000657963,0.000657963
6,3893.91,0.5749,0.41803,0.90302,0.98944,0.96854,0.99275,0.88042,0.48616,0.36083,0.85145,0.000505,0.000505,0.000505
7,4535.31,0.50233,0.36924,0.87442,0.98521,0.97433,0.99319,0.89856,0.45404,0.33967,0.83911,0.000352037,0.000352037,0.000352037
8,5148.27,0.44582,0.32434,0.8593,0.98513,0.98317,0.99337,0.91709,0.39953,0.29283,0.8217,0.000214046,0.000214046,0.000214046
9,5780.25,0.39757,0.28559,0.83646,0.98898,0.98469,0.99453,0.93418,0.35283,0.25884,0.8027,0.000104537,0.000104537,0.000104537
10,6399.03,0.37554,0.26396,0.82996,0.99059,0.98537,0.99464,0.94672,0.32459,0.24208,0.79816,3.4227e-05,3.4227e-05,3.4227e-05
